Timestamp,What is your favorite color?,Gender?,What is your age? (Optional),What is your Myers-Briggs Type? (Optional)
12/27/2016 14:59:40,,,,
12/27/2016 15:01:26,,,,
12/27/2016 15:01:45,Red,Male,21,
12/27/2016 15:01:52,Yellow,Female,,
12/27/2016 15:02:16,Blue,Male,21,
12/27/2016 15:02:27,Blue,Male,15,
12/27/2016 15:04:01,Green,Female,24,
12/27/2016 15:04:21,Green,Female,30,
12/27/2016 15:04:46,,,,
12/27/2016 15:05:38,Troll,Male,24,
12/27/2016 15:06:25,Grey,Female,,
12/27/2016 15:07:45,Violet,Female,30,INTJ
12/27/2016 15:08:13,Blue,Female,,ISFP
12/27/2016 15:09:25,Grey,Male,20,ENTP
12/27/2016 15:09:31,Blue,Male,,
12/27/2016 15:10:14,Cyan,Male,21,INTP
12/27/2016 15:10:33,Black,Female,,
